name,sostav,cal,prot,fat,carb
Котлета куриная,"Куриное бедро, лук, яйца, молоко, хлеб, сухари для панировки",290,20,20,"5,5"
Котлета рыбная,"Минтай, капуста белокочанная, хлеб, яйцо, мука, молоко, морковь, лук",,,,
Котлеты рыбные,"Минтай, капуста белокочанная, хлеб, яйцо, мука, молоко, морковь, лук",210,12,11,17
Котлеты рыбные с соусом тар-тар,,210,12,11,17
Коул-слоу,"Капуста белокочанная, морковь, майонез, сметана, чеснок, уксус винный, сахар",130,2,11,"6,5"
Крабовый,"Яйцо, огурец, крабовые палочки, майонез, кукуруза",230,8,20,"5,5"
Крем суп сырный с гренками,"Картофель, лук, чеснок, овощной бульон, сыр плавленый, мука, сливки, сельдерей",400,9,26,31
Купаты куриные,"Филе куриное, бедро куриное, лук, чеснок, кориандр, мускатный орех",260,19,16,10
Куриная отбивная,"Соус свит-чили, филе куриное, паприка, растительное масло",260,25,11,15
Куриная печень в сметанном соусе,"Печень куриная, лук, молоко, сметана, бульон куриный",260,"7,5",24,2
Куриные купаты,"Филе куриное, бедро куриное, лук, чеснок, кориандр, мускатный орех",260,19,16,10
Куриный шашлык,"Куриное бедро, паста карри, паприка, мускатный орех",300,19,22,"7,5"
Куриный шницель,"Куриное филе, куриное бедро, сыр",540,17,50,5
Курица отварная,"Филе куриное, соль, белый перец",390,50,19,"4,5"
Кус-кус с овощами,"Кус-кус, баклажаны, кабачок, болгарский перец",450,14,4,90
Кускус с овощами,"Кус-кус, баклажаны, кабачок, болгарский перец",450,14,4,90
Лазанья мясная,"Листы лазаньи, соус болоньез (морковь, чеснок, томаты, розмарин, говяжий фарш, лук), соус бешамель (молоко, мускатный орех, сливочное масло, мука), сыр моцарелла, пармезан",290,26,10,24
Лапша куриная,"Куриный бульон, вермишель, курица, петрушка",100,"8,5","3,5",10
Латте,,,,,
Люля из баранины,"Баранина, говядина, лук, зира, хмели сунели, кинза, кориандр, аджика сухая",300,22,21,7
Люля-кебаб из баранины,"Баранина, говядина, лук, зира, хмели сунели, кинза, кориандр, аджика сухая",300,22,21,7
Люля-кебаб из курицы,"Грудка куриная, бедро куриное, лук, куркума, кориандр",210,19,12,"5,5"
Майонез,,190,1,20,1
Малина-клубника,,,,,
Малина-клюква,,,,,
Малина-маракуйя,,,,,
Манго-маракуйя,,,,,
Маракуйя-баблгам,,,,,
Марокканский,,,,,
Микс с вялеными томатами,"Айсберг, руккола, романо, шпинат, вяленые томаты, заправка (мёд, соевый соус, лимонный сок)",90,1,8,"3,5"
Мимоза,"Картофель, морковь, яйцо, горбуша, лук, майонез",320,15,25,"8,5"
Миндальное яблоко,,,,,
Минтай запеченный с пармезаном,"Филе минтая, петрушка, укроп, сливочное масло, панировочные сухарики панко, пармезан",340,28,19,12
Минтай запеченный с пармезаном и зеленью,"Филе минтая, петрушка, укроп, сливочное масло, панировочные сухарики панко, пармезан",340,28,19,12
Минтай запечённый с пармезаном,"Филе минтая, петрушка, укроп, сливочное масло, панировочные сухарики панко, пармезан",340,28,19,12
Минтай под маринадом,"Минтай, лук, морковь, томатная паста, уксус винный, сахар",250,29,"9,5",11
Минтай с пармезаном и зеленью,,340,28,19,12
Митболлы,"Говядина, курица, лук, хлеб, яйцо, чеснок сухой, соус чурасско, томатный соус (томаты в собственном соку, орегано, масло сливочное, сахар)",330,15,21,18
Митболлы в томатном соусе,"Говядина, курица, лук, хлеб, яйцо, чеснок сухой, соус чурасско, томатный соус (томаты в собственном соку, орегано, масло сливочное, сахар)",,,,
Молочный улун,,,,,
Морковно-имбирный,,130,"2,5",4,20
